"","id","family_id","name","latitude","longitude"
"8102","hiww1237","aust1307","Hiw",-13.126367,166.584857
"8133","hmwa1243","aust1307","Hmwaveke",-20.9246,164.768
"8137","hoav1238","aust1307","Hoava",-8.19679,157.595
"8213","hote1245","aust1307","Hote",-7.07708,146.869
"8214","hoti1237","aust1307","Hoti of East Seram",-3.0083,130.168
"8218","hovo1239","aust1307","Hobongan",0.9841,113.897
"8266","huau1237","aust1307","Huaulu",-2.95835,129.202
"8295","huku1237","aust1307","Hukumina",-3.274,126.194
"8296","hula1239","aust1307","Hula",-9.99427,147.705
"8303","hulu1246","aust1307","Hulung",-2.87389,128.587
"8376","iaai1238","aust1307","Iaai",-20.6301,166.59
"8379","iama1237","aust1307","Iamalele",-9.45005,150.573
"8392","ibal1244","aust1307","Ibaloi",16.4263,120.695
"8396","iban1264","aust1307","Iban",2.09041,112.934
"8398","iban1267","aust1307","Ibanag",17.4201,121.891
"8404","ibat1238","aust1307","Ibatan",18.9398,121.909
"8433","idaa1241","aust1307","Ida'an",5.29059,118.515
"8440","idat1237","aust1307","Idaté",-8.76258,125.832
"8455","idun1242","aust1307","Iduna",-9.34361,150.24
"8460","ifoo1237","aust1307","Ifo",-18.7668,169.007
"8560","ilea1237","aust1307","Ile Ape",-8.38636,123.442
"8563","ilia1236","aust1307","Ilianen Manobo",7.34448,124.766
"8571","iliu1237","aust1307","Ili'uun",-7.84385,125.902
"8577","ilok1237","aust1307","Iloko",15.9361,120.993
"8578","ilon1239","aust1307","Ilongot",16.3785,121.547
"8615","imro1237","aust1307","Imroing",-7.96772,129.651
"8619","inab1237","aust1307","Inabaknon",12.4264,124.166
"8638","indo1316","aust1307","Standard Indonesian",-7.33458,109.716
"8639","indo1317","aust1307","Indonesian Bajau",-3.68664,122.253
"8677","inla1260","aust1307","Inlaod Itneg",17.61752,120.65389
"8697","inon1237","aust1307","Inonhan",12.284,122.03
"8748","iran1262","aust1307","Iranun",4.3362,118.224
"8758","irar1238","aust1307","Irarutu",-2.94438,133.586
"8759","iray1237","aust1307","Iraya",13.381,120.65
"8761","ires1239","aust1307","Yerisiam",-3.62803,135.025
"8763","irig1242","aust1307","Iriga Bicolano",13.3896,123.331
"8790","isar1235","aust1307","Isarog Agta",13.651,123.332
"8802","isin1239","aust1307","Isinai",16.3299,121.12
"8820","isna1241","aust1307","Isnag",18.2139,121.16
"8857","itaw1240","aust1307","Itawit",17.7329,121.58
"8890","ivat1242","aust1307","Itbayat",20.77,121.85
"8901","iwak1237","aust1307","I-Wak",16.30448,120.78633
"8902","iwal1237","aust1307","Iwal",-7.20938,146.983
"8981","jaku1244","aust1307","Jakun",2.64582,103.342
"8998","jamb1236","aust1307","Jambi Malay",-2.6469,103.13
"9022","jang1257","aust1307","Jangkang",0.29738,110.647
"9040","jara1266","aust1307","Jarai",13.6161,107.813
"9066","java1254","aust1307","Javanese",-7.001,109.287
"9072","jawe1237","aust1307","Jawe",-20.6648,164.676
"9395","kada1286","aust1307","Kadai",-1.74547,125.142
"9432","kaga1255","aust1307","Kagan Kalagan",7.10698,125.61
"9433","kaga1256","aust1307","Kagayanen",10.4656,119.872
"9453","kahu1241","aust1307","Kahua",-10.6963,162.191
"9458","kaib1244","aust1307","Kaibobo",-3.1603,128.211
"9459","kaid1239","aust1307","Kaidipang",0.85641,123.217
"9461","kaie1237","aust1307","Kaiep",-3.70524,143.884
"9474","kaim1241","aust1307","Kaimbulawa",-5.65447,122.538
"9491","kair1263","aust1307","Kairiru",-3.34608,143.558
"9493","kair1265","aust1307","Kairui-Midiki",-8.74034,126.059
"9511","kaja1250","aust1307","Kajaman",2.78613,113.886
"9528","kaka1267","aust1307","Kakabai",-10.2976,150.027
"9562","kala1388","aust1307","Kalagan",6.8126,125.328
"9565","kala1391","aust1307","Kalabakan",4.53605,117.317
"9568","kala1394","aust1307","Kalao",-7.31213,120.995
"9626","kalu1247","aust1307","Kalumpang",-2.33388,119.474
"9641","kama1362","aust1307","Kamarian",-3.40779,128.526
"9642","kama1363","aust1307","Kamayo",8.10796,126.314
"9643","kama1364","aust1307","Kamaru",-5.15696,123.045
"9662","kamb1299","aust1307","Kambera",-9.88447,120.235
"9725","kana1286","aust1307","Kanakanavu",23.3235,120.887
"9746","kand1301","aust1307","Kandas",-4.3652,152.781
"9764","kang1289","aust1307","Kangean",-7.98335,112.968
"9775","kani1281","aust1307","Kaninuwa",-9.23148,150.253
